Link	Title	Snippet
https://www.apnews.com/d782be5ecd4646c1a76516aa50070662	Trump pitches tax cut as 'middle class miracle'	Sep 27, 2017 ... INDIANAPOLIS (AP) Promising a middle class miracle, President Donald Trump on Wednesday was in full salesman mode as he tried to build momentum behind his plan to overhaul the nation's tax code and revive his moribund legislative agenda. Hours after the White House and congressional...
https://www.apnews.com/1e6f32b534fc4b7883642a3e58bf547f/Trump-plan-promises-huge-tax-cuts,-but-big-questions-remain	Trump plan promises huge tax cuts, but big questions remain	Sep 27, 2017 ... WASHINGTON (AP) Promising big tax cuts and a booming economy, President Donald Trump and congressional Republicans unveiled the first major revamp of the nation's tax code in a generation Wednesday a sweeping, nearly $6 trillion tax cut that would deeply reduce levies for corporations,...
https://www.apnews.com/c257d70e480143fdae4b0deae409511b	Trump praises Puerto Rico aid, mayor says it's 'killing us'	Sep 29, 2017 ... WASHINGTON (AP) President Donald Trump pledged to spare no effort to help Puerto Ricans recover from Maria's ruinous aftermath Friday even as San Juan's mayor, her voice breaking with rage, accused his administration of killing us with the inefficiency. Mayor Carmen Yulin Cruz implored Trump...
https://www.apnews.com/f609602269d54524aa14e1d9c74ec97c	The Latest: Republicans unveil nearly $6 trillion tax cut	Sep 28, 2017 ... WASHINGTON (AP) The Latest on the Republican plan to overhaul the tax code (all times local):. 8:20 p.m.. President Donald Trump and congressional Republicans have unveiled the first major revamp of the nation's tax code in a generation. The sweeping, nearly $6 trillion tax cut would deeply reduce...
https://www.apnews.com/6cca5233beb248288b28fae9f9b89fd0/$5-trillion-question-for-Trump-tax-plan:-How-to-pay-for-it	$5 trillion question for Trump tax plan: How to pay for it?	Sep 28, 2017 ... In this Wednesday, Sept. 27, 2017, photo, U.S. President Donald Trump speaks in Indianapolis. How do you pay for the president's proposed $5.8 trillion tax cut? For Trump and Republican congressional leaders, that is the mostly unanswered $5,800,000,000,000 question. (AP Photo/Michael Conroy).
https://www.apnews.com/bacab5fdda414b1283bb4aea74e2524e	Trump to travel to 5 countries in Asia in November	Sep 29, 2017 ... WASHINGTON (AP) The White House announced Friday that President Donald Trump will take a five-nation trip to the Asia Pacific region in November as the U.S. seeks to curb North Korea's growing nuclear threat. The White House said Trump will travel to Japan, South Korea, China, Vietnam and the...
https://www.apnews.com/8c77dc02b5fa44128647dc4a6780d66c/Trump's-health-secretary-resigns-in-travel-flap	Trump's health secretary resigns in travel flap	Sep 30, 2017 ... WASHINGTON (AP) President Donald Trump's health secretary resigned Friday, after his costly travel triggered investigations that overshadowed the administration's agenda and angered his boss. Tom Price's regrets and partial repayment couldn't save his job. The Health and Human Services secretary...
https://apnews.com/2158ec58409742b98e0703ae1f21c7b3	Being called a 'good man' by Trump is sometimes an omen	Sep 30, 2017 ... BRANCHBURG, N.J. (AP) Sometimes it's better not to be a nice guy. President Donald Trump has dismissed and accepted the resignations of a growing list of administration officials, including Health and Human Services Secretary Tom Price. Trump said before the news broke that he was disappointed...
https://www.apnews.com/c6b7d61d97ca42d5a4ed79f0f6d65a6f/Trump-says-he's-not-happy-with-HHS-Secretary-Tom-Price	Trump says he's not happy with HHS Secretary Tom Price	Sep 27, 2017 ... WASHINGTON (AP) President Donald Trump said Wednesday he is not happy with Health and Human Services Secretary Tom Price following reports that Price used a private plane for official business. And Trump says he let Price know it. Asked whether he's planning on firing Price, Trump...
https://www.apnews.com/3c52928fa9c142529497f606d7089883	Will Trump allow release of secret JFK assassination papers?	Sep 27, 2017 ... BOSTON (AP) The anticipated release of thousands of never-seen government documents related to President John F. Kennedy's assassination has scholars and armchair detectives buzzing. Now, they're waiting to see whether President Donald Trump will block the release of files that could shed light...
