Link	Title	Snippet
https://www.apnews.com/7511e7654b2f476489be235327843280	Porn star who alleged Trump affair: I can now tell my story	Feb 15, 2018 ... NEW YORK (AP) Stormy Daniels, the porn star whom Donald Trump's attorney acknowledges paying $130,000 just before Election Day, believes she is now free to discuss an alleged sexual encounter with the man who is now president, her manager told The Associated Press Wednesday. At the same...
https://apnews.com/8c658ba3ace2465a835e09dc5a3ce63a	Donald Trump Jr.	Feb 13, 2018 ... NEW YORK (AP) Donald Trump Jr.'s wife was taken to a New York City hospital on Monday as a precaution after she opened an envelope addressed to her husband that contained an unidentified white powder, though police later said the substance wasn't dangerous, authorities said. The frightening...
https://www.apnews.com/875dcc51d79043ccb28fc1adc928aac5/Trump-cites-mental-health-in-shooting,-no-mention-of-guns	Trump cites mental health _ not guns _ in speech on shooting	Feb 16, 2018 ... WASHINGTON (AP) Declaring the nation united and grieving with one heavy heart, President Donald Trump promised Thursday to tackle school safety and the difficult issue of mental health in response to the deadly shooting in Florida. He made no mention of the scourge of gun violence. Not always...
https://apnews.com/2bf291b8bc1548c48192bc9982777459	The Latest: Trump postpones Penn. rally after shooting	Feb 15, 2018 ... WASHINGTON (AP) The Latest on President Donald Trump's response to the Florida school shooting (all times local):. 2:45 p.m.. President Donald Trump is postponing a campaign rally next week in Pennsylvania because of Wednesday's school shooting in Florida. Trump's campaign says it put off the...
https://www.apnews.com/03466b2e39504e5bb311cfcf2535c6c8	Priebus: Chaos reigned in early days of Trump White House	Feb 15, 2018 ... WASHINGTON (AP) President Donald Trump's first chief of staff says all those reports about chaos in the early days of the Trump White House were true and then some. Take everything you've heard and multiply it by 50, Reince Priebus said, according to an updated book to be published next month...
https://apnews.com/c9df6905463a4886803f00bfd4b35358	Winners and losers under Medicare drug plan in Trump budget	Feb 13, 2018 ... WASHINGTON (AP) Some Medicare beneficiaries would face higher prescription drug costs under President Donald Trump's budget even as the sickest patients save thousands of dollars, a complex trade-off that may make it harder to sell Congress on the plan in an election year. In budget documents...
https://www.apnews.com/4db5c3de76d6440fbe35485af6cc0678/Budget-undercuts-Trump-focus-on-mental-health,-school-safety	Budget undercuts Trump focus on mental health, school safety	Feb 16, 2018 ... WASHINGTON (AP) President Donald Trump is calling for a focus on mental health and school safety in response to shootings like the one that took 17 lives in Florida, but his budget would cut funding in both areas. Trump's latest budget would slash the major source of public funds for mental health...
https://www.apnews.com/e50aec4820da4e30aed4bea9ff440e86	Trump's budget balloons deficits, cuts social safety net	Feb 13, 2018 ... WASHINGTON (AP) President Donald Trump unveiled a $4.4 trillion budget plan Monday that envisions steep cuts to America's social safety net but mounting spending on the military.
https://apnews.com/32219313542a4c7ab83bb397f1956427	Trump support vital as Congress tackles immigration issue	Feb 12, 2018 ... WASHINGTON (AP) The Senate begins a rare, open-ended debate on immigration and the fate of the Dreamer immigrants on Monday, and Republican senators say they'll introduce President Donald Trump's plan. Though his proposal has no chance of passage, Trump may be the most influential...
https://www.apnews.com/f89be585d68147359049d98bd64b79dc/Trump's-big-promises-on-drug-costs-followed-by-modest-steps	Trump's big promises on drug costs followed by modest steps	Feb 12, 2018 ... WASHINGTON (AP) President Donald Trump makes big promises to reduce prescription drug costs, but his administration is gravitating to relatively modest steps such as letting Med.
