Link	Title	Snippet
https://www.apnews.com/538a444935ea452992029c6d0220932a	Trump takes rare step to reduce 2 national monuments in Utah	Dec 5, 2017 ... SALT LAKE CITY (AP) President Donald Trump on Monday took the rare step of scaling back two sprawling national monuments in Utah, declaring that public lands will once again be for public use in a move cheered by Republican leaders who lobbied him to undo protections they considered overly...
https://www.apnews.com/b8244def36484dfb93fd958962b7d649/Supreme-Court-allows-full-enforcement-of-Trump-travel-ban	Supreme Court allows full enforcement of Trump travel ban	Dec 4, 2017 ... WASHINGTON (AP) The Supreme Court on Monday allowed the Trump administration to fully enforce a ban on travel to the United States by residents of six mostly Muslim countries. This is not a final ruling on the travel ban: Challenges to the policy are winding through the federal courts, and the justices...
https://www.apnews.com/3252d88390ed4ddea736b4a85a0b78a9	Detentions spike, border arrests fall in Trump's first year	Dec 5, 2017 ... WASHINGTON (AP) President Donald Trump's immigration crackdown has produced a spike in detentions by deportation officers across the country during his first months in office. At the same time, arrests along the Mexican border have fallen sharply, apparently as fewer people have tried to sneak into...
https://www.apnews.com/6d94eb47d2444e1eaf5066beba64b2fb	Trump Jr. avoids questions about talks with father	Dec 7, 2017 ... WASHINGTON (AP) Donald Trump Jr. refused to tell lawmakers about conversations he had with his father regarding a 2016 Trump Tower meeting with a Russian lawyer after emails detailing the meeting had become public, according to the top Democrat on the House intelligence committee. Speaking...
https://apnews.com/4e658c25450a460c80d4f2d9ac38a632	Warnings intensify as Trump readies Jerusalem declaration	Dec 6, 2017 ... JERUSALEM (AP) America's friends and foes unleashed fierce criticism on Wednesday ahead of President Donald Trump's announcement recognizing Jerusalem as Israel's capital. While Israel welcomed the news, Palestinian officials declared the Mideast peace process finished and Turkey...
https://www.apnews.com/1d4e1824283f41eaa8422227fa8e6ea7	Trump declares Jerusalem Israeli capital, smashing US policy	Dec 7, 2017 ... WASHINGTON (AP) President Donald Trump shattered decades of unwavering U.S. neutrality on Jerusalem Wednesday, declaring the sorely divided holy city as Israel's capital and sparking frustrated Palestinians to cry out that he had destroyed already-fragile Mideast hopes for peace. Defying dire...
https://apnews.com/515163c0c3f446d4880e56ca5339fa5c	The Latest: Trump to declare Jerusalem as Israeli capital	Dec 6, 2017 ... JERUSALEM (AP) The Latest on a possible U.S. decision to recognize Jerusalem as Israel's capital (all times local):. 4 a.m.. U.S. officials say President Donald Trump will recognize Jerusalem as Israel's capital Wednesday and instruct the State Department to begin the multi-year process of moving the...
https://www.apnews.com/d0d7cbeda18f429ea3882166cead59c9	Tribes: Trump's monument order disrespects native people	Dec 5, 2017 ... SALT LAKE CITY (AP) President Donald Trump's rare move to shrink two large national monuments in Utah triggered another round of outrage among Native American leaders who vowed to take the fight to court to preserve protections for land they consider sacred. Environmental and conservation...
https://www.apnews.com/fbed58b82fb34e4ea4c2daaee17b5835/On-Jerusalem,-Trump-delivers-for-supporters-at-home	On Jerusalem, Trump delivers for supporters at home	Dec 7, 2017 ... WASHINGTON (AP) President Donald Trump's move to recognize the divided city of Jerusalem as Israel's capital may have triggered a worldwide chorus of critics but the president had his ears closely tuned to his supporters at home. For Trump, the proclamation was an important way to make good on a...
https://www.apnews.com/4c90fcbfbfdb4a7d99e6a62641032557	Trump decision on Jerusalem could have deep repercussions	Dec 6, 2017 ... JERUSALEM (AP) President Donald Trump's recognition of Jerusalem as Israel's capital on Wednesday could have deep repercussions across the region. Recognition of I.
