Link	Title	Snippet
https://www.apnews.com/11a48fde81634789b1cc361696693b68	Trump's use of private cellphone raises security concerns	May 31, 2017 ... WASHINGTON (AP) President Donald Trump has been handing out his cellphone number to world leaders and urging them to call him directly, an unusual invitation that breaks diplomatic protocol and is raising concerns about the security and secrecy of the U.S. commander in chief's communications.
https://www.apnews.com/0cafd1e56b124f5b9cf17ace7031d6d0	Trump pulls US from global warming accord, to allies' dismay	Jun 2, 2017 ... WASHINGTON (AP) President Donald Trump declared Thursday he was pulling the U.S. from the landmark Paris climate agreement, striking a major blow to worldwide efforts to combat global warming and distancing the country from its closest allies abroad. Framing his decision as a reassertion of...
https://www.apnews.com/fdd9b7c277ac4eb29da322e33afd4942	Trump to announce decision on Paris climate pact Thursday	Jun 1, 2017 ... WASHINGTON (AP) President Donald Trump says he will announce his decision on whether to pull the United States out of the Paris climate accord during a Rose Garden event Thursday afternoon. Trump promoted his announcement Wednesday night on Twitter, after a day in which U.S. allies around...
https://apnews.com/0da0d9b1f90c427eb15d7781f8c84fee	The Latest: Fiji's leader disappointed by Trump decision	Jun 2, 2017 ... WASHINGTON (AP) The Latest on Donald Trump and climate change (all times EDT):. 10:40 p.m.. Fiji's prime minister, who will chair an annual climate summit in Germany in November, says he's deeply disappointed by President Donald Trump's decision to pull out of the Paris climate accord.
https://apnews.com/f4077a3a84f845bb9d3361e77588181b	Feeling insulted, Mexican to market 'Trump' toilet paper	May 31, 2017 ... MEXICO CITY (AP) A Mexican businessman offended by President Donald Trump's insults to his countrymen is seizing on a possible oversight in the magnate's branding plans. Corporate lawyer Antonio Battaglia is introducing Trump brand toilet paper, marketed under the slogans Softness without...
https://www.apnews.com/1847508799c543deb597d069476f67b4/Judge:-Trump-deportation-order-for-man-in-Hawaii-'inhumane'	Judge: Trump deportation order for man in Hawaii 'inhumane'	May 31, 2017 ... SAN FRANCISCO (AP) A Trump administration order to deport a man who entered the country illegally nearly three decades ago and became a respected businessman in Hawaii was inhumane and contrary to the values of the country and its legal system, a federal judge wrote Tuesday in an...
https://www.apnews.com/dd14d9387c6c472e83880c6e637fbeb9	For President Trump, decisions accompanied by drama	Jun 2, 2017 ... WASHINGTON (AP) With President Donald Trump, decisions are often served with a side of drama. From the White House Rose Garden, Trump revealed his plans for the Un.
https://www.apnews.com/32111eb2921b484d8b1e575d062304e3	From Nikki Haley, another side of Trump's 'America First'	May 30, 2017 ... BAB AL-HAWA, Turkey-Syria Border (AP) Nikki Haley crouched low in the trailer of an 18-wheeler taping up a box of lentils and wheat for besieged Syrians, her hands-on diplomacy a world apart from the gleaming new NATO headquarters where President Donald Trump was debuting his America First...
https://www.apnews.com/6e9894c029714db5a2d979d915b892b5	Analysis: Trump's climate decision puts US on a lonely path	Jun 2, 2017 ... WASHINGTON (AP) President Donald Trump's decision to pull out of the landmark Paris climate accord sends an unmistakable message to the world: America First can mean America Alo.
https://www.apnews.com/e2a4aa6dad7240e9836052e03576df68	Leaders pledge to boost climate efforts after Trump decision	Jun 2, 2017 ... PARIS (AP) A Malian cattle herder, German environmental activists, leaders from Mexico to China they're among millions on Friday denouncing President Donald Trump's decision to pull the United States out of the Paris climate accord. Many nations pledged to ramp up their efforts to curb global...
