Link	Title	Snippet
https://www.apnews.com/8720fde079e84237b8e6cca4219aafb2/Trump-accuses-DOJ-of-being-part-of-'deep-state'	Trump accuses DOJ of being part of 'deep state'	Jan 2, 2018 ... WASHINGTON (AP) President Donald Trump accused the Justice Department Tuesday of being part of the deep state and urged prosecution against a top aide to former Secretary of State Hillary Clinton and former FBI Director James Comey. He also claimed that U.S. sanctions on North Korea were...
https://www.apnews.com/501cbb6ed61e40d288f9d39a321a89ac/Trump's-White-House-setting-records-for-early-departures	Trump's White House setting records for early departures	Jan 5, 2018 ... WASHINGTON (AP) Already setting turnover records, President Donald Trump's White House is bracing for even more staff departures and an increasing struggle to fill vacancies, sh.
https://apnews.com/d1ceff1da9824da1890f37f2356f29c1	Trump blasts Bannon over book, says ex-aide 'lost his mind'	Jan 4, 2018 ... WASHINGTON (AP) President Donald Trump launched a scathing attack on former top adviser Steve Bannon on Wednesday, responding to a new book that portrays Trump as an undisciplined man-child who didn't actually want to win the White House and quotes Bannon as calling his son's contact with...
https://www.apnews.com/014efbb86511429d9c09c818a76f58e0/Trump-threatens-to-cut-off-US-aid-to-Palestinian-Authority	Trump threatens to cut off US aid to Palestinian Authority	Jan 3, 2018 ... WASHINGTON (AP) Acknowledging his push to broker peace in the Middle East has stalled, President Donald Trump on Tuesday appeared to threaten to cut off U.S. aid money to the Palestinian Authority, asking why the U.S. should make any of these massive future payments when the Palestinians...
https://www.apnews.com/a5ecb0a8da2b4d92b812446c3a074323/Perils-abroad,-full-plate-at-home,-as-Trump-opens-2nd-year	Perils abroad, full plate at home, as Trump opens 2nd year	Jan 2, 2018 ... WASHINGTON (AP) The glamour of his holiday break behind him, President Donald Trump returned to the White House on Monday night to face a hefty legislative to-do list, critical midterm elections and perilous threats abroad. Trump started his second year in Washington after a lengthy sojourn at his...
https://apnews.com/1fe4ddfaca124d82929797468b432359	Trump barrels into 2018 with fresh foreign fights on Twitter	Jan 4, 2018 ... WASHINGTON (AP) You thought President Donald Trump might mellow out in 2018? Refrain from taunting world leaders tweet by tweet? Think again. Trump is storming into the new year in exceptionally aggressive fashion, picking fresh fights on Twitter with such speed that his aides, international...
https://www.apnews.com/b3d4e5974aba421b81763c153541ea06/Trump-signs-order-disbanding-voter-fraud-commission	Trump signs order disbanding voter fraud commission	Jan 4, 2018 ... WASHINGTON (AP) President Donald Trump signed an executive order Wednesday disbanding his controversial voter fraud commission amid infighting, lawsuits and state officials' refusal to cooperate. Trump convened the commission to investigate the 2016 presidential election, after alleging...
https://www.apnews.com/91d848f2f7764268a921def62d411d16	AP Source: Trump had lawyer urge AG against Russia recusal	Jan 5, 2018 ... WASHINGTON (AP) President Donald Trump directed his White House counsel to tell Attorney General Jeff Sessions to not recuse himself from the Justice Department's investigation into potential ties between Russia and the Trump campaign, according to a person familiar with the matter.
https://www.apnews.com/501bf96f262d42bd9da7960341b698b7	The Latest: Sensational book on Trump is top seller online	Jan 5, 2018 ... WASHINGTON (AP) The Latest on President Donald Trump, his former aide Steve Bannon and the book that told of a chaotic White House (all times local):. 2: 25 p.m.. Author Michael Wolff's sensational book on President Donald Trump's administration is the top seller online. That's according to...
https://www.apnews.com/281c60f078ed4e43bee3fb7f3e0598f8	2 GOP senators urge criminal probe of Trump dossier author	Jan 5, 2018 ... WASHINGTON (AP) Two Republican senators have made the first known criminal referral in congressional investigations of Russian meddling in the 2016 election, targeting the author of a dossier of allegations about President Donald Trump's ties to Russia. Senate Judiciary Committee Chairman...
