Link	Title	Snippet
https://www.apnews.com/78ecd2bdc0ca46a5ad2a1afb4cd122a2/Trump-launches-commission-to-investigate-voter-fraud	Trump launches commission to investigate voter fraud	May 12, 2017 ... WASHINGTON (AP) President Donald Trump signed an executive order Thursday launching a commission to review alleged voter fraud and voter suppression, building upon his unsubstantiated claims that millions of people voted illegally in the 2016 election. The White House said the president's...
https://apnews.com/190c006d277c48f7954e472282a2436b	Trump to meet top Russian diplomat at the White House	May 10, 2017 ... WASHINGTON (AP) President Donald Trump will meet Wednesday with Vladimir Putin's top diplomat at the White House on Wednesday, the White House said, marking the highest level, face-to-face contact with Russia of the American leader's young presidency. It would also signal that the two...
https://www.apnews.com/33f1884d48974055b89682efc73bf003	AP FACT CHECK: White House opaque on Trump's travel costs	May 9, 2017 ... WASHINGTON (AP) President Donald Trump says staying at his central New Jersey home causes less disruption than if he had spent the weekend at Trump Tower in New York, and saves taxpayers money. But does it? On Friday the president tweeted, Rather than causing a big disruption in N.Y.C.,...
https://www.apnews.com/095c68a9e16e4898b3b0f282bedb04a8	Obama starts defining his new role in the age of Trump	May 9, 2017 ... WASHINGTON (AP) Former President Barack Obama is starting to define his new role in the age of Donald Trump. After dropping out of sight for a pair of glamorous is.
https://www.apnews.com/094da2d5fb1e45bda42e55c1577f815c	Trump ax falls on FBI's Comey in midst of Russia probe	May 10, 2017 ... WASHINGTON (AP) President Donald Trump abruptly fired FBI Director James Comey Tuesday, dramatically ousting the nation's top law enforcement official in the midst of an FBI investigation into whether Trump's campaign had ties to Russia's meddling in the election that sent him to the White House.
https://apnews.com/740ed5b40ce84bb398c82c48884be616	AP Exclusive: US digs for evidence of Haiti immigrant crimes	May 9, 2017 ... WASHINGTON (AP) As the Trump administration weighs extending humanitarian protections for thousands of Haitian immigrants, officials are digging for unusual information: How many have been convicted of crimes. Internal emails obtained by The Associated Press show a top immigration official ...
https://www.apnews.com/39ea0f21a60e4f89bcafe9262630eb55	What US-Russia crisis? Trump seeks closer ties in WH meeting	May 10, 2017 ... WASHINGTON (AP) All but ignoring the unfurling drama over Russia and the U.S. election, President Donald Trump on Wednesday sought to advance prospects for cooperation between the former Cold War foes in Syria and elsewhere in a rare Oval Office meeting with Vladimir Putin's top diplomat.
https://apnews.com/8a268716ce7f4bc181dbf81a1f81bfb2	Sale of Trump Caribbean property revives ethics concerns	May 9, 2017 ... WASHINGTON (AP) For sale: Luxury waterfront escape. Comes with two villas and five acres of paradise. And perhaps a bit of goodwill from the president of the United States? President Donald Trump's corporate trust is selling a multimillion- dollar Caribbean resort, presenting an enticing new way for a...
https://www.apnews.com/598b408537d74de586b5e951ec383d05/US-Treasury-chief-to-brief-key-allies-on-Trump-policies	US Treasury chief to brief key allies on Trump policies	May 12, 2017 ... BARI, Italy (AP) Top finance officials from seven advanced economies have gathered to hear more about U.S. President Donald Trump's economic policies on taxation and trade as we.
https://apnews.com/1254a2d5dde24be08f087aed23b6c172	Travel ban arguments focus on Trump's comments about Muslims	May 9, 2017 ... RICHMOND, Va. (AP) A challenge to President Donald Trump's revised travel ban appears to hinge on whether a federal appeals court agrees that the Republican's past anti-Muslim statements can be used against him. The 4th U.S. Circuit Court of Appeals wrestled Monday with whether the court...
