Link	Title	Snippet
https://apnews.com/03dd1b758ddc4693b5f2de2f23e169bb	Trump blasts media, anonymous sources _ after WH uses them	Feb 24, 2017 ... WASHINGTON (AP) President Donald Trump unloaded on the news media Friday for using anonymous sources just hours after members of his own staff insisted on briefing reporters only on condition their names be concealed. Unleashing a line of attack that energized an enthusiastic crowd at the...
https://www.apnews.com/9517fb5ec44e4e93a275cc0722abd6a1	Trump vows to fight 'epidemic' of human trafficking	Feb 23, 2017 ... WASHINGTON (AP) President Donald Trump says he will bring the "full force and weight" of the U.S. government to combat an "epidemic" of human trafficking. The pres.
https://www.apnews.com/39f1f8e4ceed4a30a4570f693291c866	AP Exclusive: DHS report disputes threat from banned nations	Feb 24, 2017 ... WASHINGTON (AP) Analysts at the Homeland Security Department's intelligence arm found insufficient evidence that citizens of seven Muslim-majority countries included in President Donald Trump's travel ban pose a terror threat to the United States. A draft document obtained by The Associated Press...
https://www.apnews.com/b29a86e3cc0d400e9b771a572633c95b	Trio of military men gain growing influence with Trump	Feb 23, 2017 ... WASHINGTON (AP) In a White House laden with competing power centers, a trio of military men has emerged as a force to be reckoned with. Defense Secretary Jim Mattis, Homeland Security Secretary John Kelly and Joint Chiefs Chairman Joseph Dunford have quickly formed a stabilizing alliance in...
https://apnews.com/f55e308478dc463e83393023a2dfc9a5	Fishermen at odds over impact of Trump executive order	Feb 23, 2017 ... PORTLAND, Maine (AP) An executive order by President Donald Trump designed to radically cut back on federal regulations has spurred disagreement among fishermen about how it wil.
https://apnews.com/59d19eed7083468a93e90c7b8d22cce0	AP source: Trump's revised travel ban targets same countries	Feb 20, 2017 ... WASHINGTON (AP) A draft of President Donald Trump's revised immigration ban targets the same seven countries listed in his original executive order and exempts travelers who already have a visa to travel to the U.S., even if they haven't used it yet. A senior administration official said the order, which...
https://apnews.com/ab7e4c13b98a4f4f881254c60e01472d	Trump administration lifts transgender bathroom guidance	Feb 23, 2017 ... WASHINGTON (AP) Transgender students on Wednesday lost federal protections that allowed them to use school bathrooms and locker rooms matching their gender identities, as the Trump administration stepped into a long- simmering national debate. The administration came down on the side of...
https://www.apnews.com/ee1c7131968c4c01b69816cf802f93eb	In Trump's future looms a familiar shutdown threat	Feb 21, 2017 ... WASHINGTON (AP) Add a potential government shutdown to President Donald Trump's growing roster of headaches. Beneath the capital's radar looms a vexing problem a catchall spending package that's likely to top $1 trillion and could get embroiled in the politics of building Trump's wall at the...
https://www.apnews.com/256df8c9ad1f4aba9a668445be686c0b	Trump expected to submit budget blueprint on March 13	Feb 22, 2017 ... WASHINGTON (AP) Capitol Hill Republicans said Wednesday that the White House is planning to submit President Donald Trump's budget plan to Congress in mid-March. GOP aides say the plan is due on March 14. They're expecting Trump's blueprint to contain fewer details than is typical since it's a...
https://apnews.com/48c6abc61e9f482e994b46af67d47012	AP FACT CHECK: Trump claims, and gets, undue credit	Feb 24, 2017 ... WASHINGTON (AP) President Donald Trump is giving himself too much credit for sending criminal foreigners out of the country and saving money on fighter planes. He's getting too.
