Link	Title	Snippet
https://www.apnews.com/0b31d47019564c738f440a6e307729aa	Trump signs $1.3 trillion budget after threatening veto	Mar 23, 2018 ... WASHINGTON (AP) President Donald Trump grudgingly signed a $1.3 trillion federal spending measure Friday and averted a midnight government shutdown but only after undercutting his own negotiators and setting off a mini-panic with a last-minute veto threat. The episode further eroded the...
https://apnews.com/547bede34c764f11afc2fd008ed32bcc	Trump calls for death penalty to 'get tough' on drug pushers	Mar 20, 2018 ... MANCHESTER, N.H. (AP) Embracing the tough penalties favored by global strongmen, President Donald Trump on Monday brandished the death penalty as a fitting punishment for drug traffickers fueling the opioid epidemic. The scourge has torn through the rural and working-class communities that in...
https://www.apnews.com/04edb1a7205e4e09a316d8ae7d73b05e	Republicans tell Trump: Lay off Mueller _ but they don't act	Mar 20, 2018 ... WASHINGTON (AP) More Republicans are telling President Donald Trump in ever blunter terms to lay off his escalating criticism of special counsel Robert Mueller and the Russia probe. But party leaders are taking no action to protect Mueller, embracing a familiar strategy with the president simply...
https://apnews.com/bd614fa69aed463384568f44c3f6aefe/White-House-staffers-on-edge-as-Trump-eyes-another-shake-up?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP_Politics	White House staffers on edge as Trump eyes another shake-up	Mar 23, 2018 ... WASHINGTON (AP) President Donald Trump is tired of being told no. Six weeks of staff churn and pronouncement shocks reflect a president who has grown increasingly confident on the job and more trusting of his instincts. After 14 months in the Oval Office, Trump is more comfortable bucking the...
https://www.apnews.com/9dce9093d8ea4a4595582672dcf442c8	Why US consumers could feel impact of Trump's China tariffs	Mar 22, 2018 ... WASHINGTON (AP) From toys to clothes to shoes to cellphones, Americans buy a half-trillion dollars' worth of goods from China each year the biggest haul of imports from any one country. And that means the prices of many such products could surge as a result of President Donald Trump's plan to...
https://www.apnews.com/384ecd9caa9d4c1ba548d817991bfa8d	A frustrated Trump lashes out at special counsel Mueller	Mar 19, 2018 ... WASHINGTON (AP) President Donald Trump on Sunday took out his frustrations over the intensifying Russia investigation by lashing out at special counsel Robert Mueller, signaling a possible shift away from a strategy of cooperating with a probe he believes is biased against him. In a series of...
https://www.apnews.com/b050254e616a46d686e88112d8168a93/Trump-congratulates-Putin,-gets-backtalk-from-Republicans	Trump congratulates Putin, gets backtalk from Republicans	Mar 20, 2018 ... WASHINGTON (AP) President Donald Trump called Russian President Vladimir Putin on Tuesday to congratulate him on his re-election, drawing bruising criticism from members of his.
https://www.apnews.com/659d41f8a3bf4b6dbc8d5cdba33e7ab1/Death-penalty-for-drug-traffickers-part-of-Trump-opioid-plan	Death penalty for drug traffickers part of Trump opioid plan	Mar 19, 2018 ... WASHINGTON (AP) President Donald Trump's plan to combat opioid drug addiction nationwide calls for stiffer penalties for drug traffickers, including the death penalty where appropriate under current law, a top administration official said Sunday. It's a fate for drug dealers that Trump, who aims to be...
https://www.apnews.com/56fe97f2b4e5466ea53ad1e146f01a08	GOP Senators Critical of Trump's Call to Putin	Mar 19, 2018 ... Senate Republicans from leader Mitch McConnell to John McCain are criticizing President Donald Trump for his call congratulating Russian President Vladimir Putin. (March 30)
https://www.apnews.com/73e5e5aa7be2408892e9904d642d2137	Trump orders huge tariffs on China, raises trade war worries	Mar 23, 2018 ... WASHINGTON (AP) Primed for economic combat, President Donald Trump set in motion tariffs on as much as $60 billion in Chinese imports to the U.S. on Thursday and accused the Chinese of high-tech thievery, picking a fight that could push the global heavyweights into a trade war. China threatened...
