Link	Title	Snippet
https://www.apnews.com/8f54b14808a2459f9efcb0089f41f056	China grants preliminary approval to 38 new Trump trademarks	Mar 9, 2017 ... SHANGHAI (AP) China has granted preliminary approval for 38 new Trump trademarks, a move that offers a potential business foothold for President Donald Trump's family company and protects his name in a country notorious for counterfeiters. The trademarks cover everything from hotels and golf...
https://www.apnews.com/4fafe21711504bcca85dc167a6df27e9	NBC chief to Trump: We won't be intimidated	Mar 8, 2017 ... NEW YORK (AP) The chief of NBC News has a message for President Donald Trump: We're not going to be intimidated. NBC News Chairman Andrew Lack said on Tuesday that the president's attacks on some media outlets won't deter his organization from doing its job. NBC News was one of the...
https://www.apnews.com/eae4bee334fb4e358bfb1217d3e0ee74	Media the enemy? Trump sure is an insatiable consumer	Mar 10, 2017 ... NEW YORK (AP) Before most people are out of bed, Donald Trump is watching cable news. With Twitter app at the ready, the man who condemns the media as the enemy of the people may be the most voracious consumer of news in modern presidential history. Trump usually rises before 6 a.m. and...
https://apnews.com/789224e9049b407eaa6b1724eeac82af	Trump transition knew Flynn might register as foreign agent	Mar 10, 2017 ... WASHINGTON (AP) President Donald Trump's transition team learned before the inauguration that incoming National Security Adviser Michael Flynn might register with the government as a foreign agent, White House officials acknowledged Friday. The disclosure suggests that Trump transition lawyers...
https://apnews.com/f52642b0b47447888c9338e2ca5188bf	Trump hotel is the place to be in the nation's capital	Mar 6, 2017 ... WASHINGTON (AP) At a circular booth in the middle of the Trump International Hotel's balcony restaurant, President Donald Trump dined on his steak well- done, with ketchu.
https://apnews.com/3c4ffb3202f1430391a0a49703098a24	Trump seeks Congress' help on wiretap claim; FBI disputes it	Mar 6, 2017 ... PALM BEACH, Fla. (AP) President Donald Trump turned to Congress on Sunday for help finding evidence to support his unsubstantiated claim that former President Barack Obama had Trump's telephones tapped during the election. Obama's intelligence chief said no such action was ever carried out,...
https://www.apnews.com/0d9b2b2c0fa14812b821a43c1033a7b9/CBS'-Pelley-noted-for-blunt-evaluations-of-Trump	CBS' Pelley noted for blunt evaluations of Trump	Mar 7, 2017 ... NEW YORK (AP) Soft-spoken yet direct, anchor Scott Pelley is emerging as a blunt evaluator of President Donald Trump on his CBS Evening News broadcast. After Trump's claim of underreported terrorist attacks last month, Pelley said on his newscast that it has been a busy day for presidential...
https://apnews.com/d12bff11f2c143bebce8ce43a8b69a28	Ex-Trump adviser Carter Page at center of Russia storm	Mar 9, 2017 ... WASHINGTON (AP) At Moscow's New Economic School, the annual graduation ceremony often features a prominent political figure. President Barack Obama addressed graduates at the prestigious institution in 2009. The former presidents of Mexico and the Czech Republic have spoken at recent...
https://apnews.com/18bb1914d0d0497680a42ea6c5346bc0	Missile tests add pressure on Trump over North Korea	Mar 7, 2017 ... WASHINGTON (AP) North Korea's latest volley of missile tests put new pressure on a preoccupied Trump administration Monday to identify how it will counter leader Kim Jong Un's w.
https://www.apnews.com/edf92bf04afa4c928a52ee6328d247d7/An-angry-weekend-follows-on-heels-of-frustrations-for-Trump	An angry weekend follows on heels of frustrations for Trump	Mar 6, 2017 ... WASHINGTON (AP) President Donald Trump started his weekend in Florida in a fit of anger over his young administration getting sidetracked just days after his most successful moment in office. He returned to the White House late Sunday derailed again. Trump's frustration appeared to be both the...
