Link	Title	Snippet
https://www.apnews.com/dad094622e4749e6858ad52bd7938676	Trump steps into security bubble; will he bring his phone?	Jan 20, 2017 ... WASHINGTON (AP) A few hours after President-elect Donald Trump was briefed by intelligence officials about Russian meddling in the election, an Associated Press reporter called his cellphone seeking an interview. The call went to voicemail and the reporter did not leave a message. About an hour...
https://apnews.com/63a3e65fcfa34cee8ef8521204c3cbbd	Pence promises big investment in infrastructure	Jan 18, 2017 ... NEW YORK (AP) Vice President-elect Mike Pence pledged to a group of mayors that the Trump administration will make a serious investment in infrastructure, and he told diplomats.
https://www.apnews.com/d8f3c719665f4d448705cb9300c074c8	As Trump takes the oath, many voters still can't believe it	Jan 20, 2017 ... On the morning 19 months ago when Donald Trump descended the escalator in his glitzy Manhattan tower, waving to onlookers who lined the rails, many Americans knew little about him beyon.
https://www.apnews.com/c52d15f4946841beb6569a12db86cc94/Trump,-in-flap-with-civil-rights-icon,-meets-with-MLK's-son	Trump, in flap with civil rights icon, meets with MLK's son	Jan 16, 2017 ... NEW YORK (AP) Days before taking office, President-elect Donald Trump attempted to navigate the fallout of his flap with a civil rights leader and colleague of Dr. Martin Luther King Jr. while also losing a member of his incoming administration to accusations of plagiarism. Trump on Monday met with one...
https://www.apnews.com/b0ecfafaca3f4ba8b59b75b2d38e73ca	PHOTOS: Pomp, fanfare and protest for Trump inauguration	Jan 20, 2017 ... WASHINGTON (AP) Donald Trump became the 45th president of the United States Friday, vowing that "through our loyalty to our country, we will rediscover our loyalty to each other.
https://apnews.com/b44ab8f5edd1411e995027c29f36b28d	Parties, protests to take over DC for Trump's inauguration	Jan 16, 2017 ... WASHINGTON (AP) Hundreds of thousands of people are expected to clog the nation's capital for Donald Trump's inauguration and a major demonstration the day after. How many will.
https://apnews.com/7f960317f7b54ee380ccc673c1b1604c	Madonna on Trump: 'We have gone as low as we can go'	Jan 20, 2017 ... NEW YORK (AP) Madonna, an outspoken critic of President-elect Donald Trump, is trying to put a positive spin on his Friday inauguration. He's actually doing us a great service, because we have gone as low as we can go, she said Thursday night. We can only go up from here, so what are we going to...
https://apnews.com/145a24c5fc984093b51d2eae245d5c43	FACT CHECK: Trump starts on familiar note: with exaggeration	Jan 20, 2017 ... WASHINGTON (AP) Donald Trump's inaugural address held familiar echoes of the campaign speeches that led to his presidential win: downbeat about the state of the nation, to the point of hyperbole. A look at some of his assertions Friday: ___. TRUMP: The jobs left, and the factories closed ... the...
https://www.apnews.com/2fcc16231921447395a74a3d9a638602	Christie: Wife refused to move to Washington for Trump post	Jan 18, 2017 ... TRENTON, N.J. (AP) New Jersey Gov. Chris Christie turned down several jobs in the Trump administration because his wife refused to move to Washington, the governor said Wednesday. Speaking on New York radio station WFAN's Boomer and Carton program, Christie said that influenced his...
https://apnews.com/37f0637a4661475bb61a47b0a77b423b	'One China principle' not negotiable, China tells Trump	Jan 16, 2017 ... BEIJING (AP) Responding to remarks by Donald Trump, China's Foreign Ministry on Monday said the country's "one-China principle" regarding Taiwan is not negotiable and any attemp.
