Link	Title	Snippet
https://www.apnews.com/0bd8cb2c420448ab91464fabbd19d705	The Latest: Trump denies asking Comey to shelve Flynn probe	May 19, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump (all times local):. 4 :40 p.m.. President Donald Trump has responded with a direct no, no to a question about whether he asked former FBI Director James Comey to shelve an investigation into his former national security adviser. Trump also...
https://apnews.com/5e7e20245bc744fc8a6e71745239f56a	Worldwide effort set to keep Trump happy on 1st trip abroad	May 19, 2017 ... WASHINGTON (AP) When President Donald Trump sits down for dinner in Saudi Arabia, caterers have ensured that his favorite meal - steak with a side of ketchup - will be offered alongside the traditional local cuisine. At NATO and the Group of 7 summits, foreign delegations have gotten word that the...
https://www.apnews.com/62438c4821aa46fb8b0a6aa604a543ca	Donald Trump Jr., Dubai business partner discuss 'new ideas'	May 18, 2017 ... DUBAI, United Arab Emirates (AP) Donald Trump Jr. traveled to Dubai and met a billionaire business partner in the city-state, discussing new ideas as the Emirati's real estate firm still lists possible plans for future joint projects while Trump's father is in the White House. The Trump Organization has said...
https://apnews.com/c602a848be074032a024e2a1e6f8926d	Saudi Arabia working to dazzle Trump in busy overseas visit	May 18, 2017 ... DUBAI, United Arab Emirates (AP) Saudi Arabia is making every effort to dazzle and impress President Donald Trump on his first overseas trip, seizing on the visit to cement itself as a major player on the world stage and shove aside rival Iran. The kingdom has arranged a dizzying schedule of events for...
https://www.apnews.com/417c7e00c0274a3792e3262d22afaa8c	Trump attorney didn't want him to sign financial disclosure	May 19, 2017 ... WASHINGTON (AP) President Donald Trump's attorneys initially wanted him to submit an updated financial disclosure without certifying the information as true , according to correspondence with the Office of Government Ethics. Attorney Sheri Dillon said she saw no need for Trump to sign his 2016...
https://apnews.com/780cc65e99354b00877c870acf2cdaf0	Trump loyalists pay little heed to revelations rocking DC	May 18, 2017 ... NEW YORK (AP) President Donald Trump's loyal backers say they don't know, don't believe or don't care about the explosive revelations that forced the Justice Department to appoint a special counsel to investigate possible collusion between Russia and the Republican campaign. From the quiet streets...
https://www.apnews.com/872370de94814e5296590383d36a8f0e	Venezuelan leader to Trump: 'Get your pig hands out of here	May 19, 2017 ... CARACAS, Venezuela (AP) Venezuelan President Nicolas Maduro delivered his most scathing critique of U.S. President Donald Trump yet Friday, telling him to stop intervening and get your pig hands out of here. Speaking before a crowd of supporters, a fired-up Maduro accused Trump of promoting...
https://www.apnews.com/d941959a6ba4495993916b13d217e9ae	The Latest: National security adviser to brief reporters	May 16, 2017 ... WASHINGTON (AP) The Latest on the report that President Donald Trump shared classified information with Russian officials (all times EDT):. 10:50 a.m.. President Donald Trump's national security adviser plans to brief reporters at the White House. The White House says H.R. McMaster will hold an...
https://apnews.com/d8bcb00c98d44968bb2dfcd56d61d74e	Trump to Muslims on first foreign trip: Drive out terrorists	May 19, 2017 ... WASHINGTON (AP) President Donald Trump will use his first visit to the Middle East to call for unity in the fight against radicalism in the Muslim world, casting the challenge as a battle between good and evil and urging Arab leaders to drive out the terrorists from your places of worship, according to a...
https://apnews.com/5e675fb16ff643cb9082ba242b72c859	Trump transition handling of classified info raised concern	May 16, 2017 ... WASHINGTON (AP) President Donald Trump's disclosure of classified information to Russian officials isn't the first time his team's handling of secrets has raised alarm bells. In the weeks before Trump took office, Obama administration officials were so concerned by the Trump transition team's handling...
