Link	Title	Snippet
https://apnews.com/b5383189b4dc4dea94890f13846c2639	AP sources: Trump tells senators House health bill 'mean'	Jun 14, 2017 ... WASHINGTON (AP) President Donald Trump told Republican senators Tuesday that the House-passed health care bill he helped revive is mean and urged them to craft a version that is more generous, congressional sources said . Trump's remarks were a surprising slap at a Republican-written...
https://apnews.com/024824c4f6ce4eddae98f4156e36553e	Poll shows most doubt Trump's respect for institutions	Jun 14, 2017 ... WASHINGTON (AP) Most Americans say they think President Donald Trump has little to no respect for the country's democratic traditions, according to a new poll that underscores the difficulty Trump faces in uniting a country deeply divided about his leadership. The new survey, conducted by the...
https://apnews.com/e53c77e4c20b42568d44d2f79bac1a46	Rodman gives Kim the gift of Trump: 'The Art of the Deal'	Jun 15, 2017 ... PYONGYANG, North Korea (AP) Dennis Rodman has delivered a message from President Donald Trump to North Korea sort of. On Thursday, the former NBA player gave the country's sports minister a copy of Trump's book The Art of the Deal, a present intended for North Korean leader Kim Jong...
https://apnews.com/d798b3e44dda490b9bc831ca2a8a88c8	Maryland, DC attorneys general sue Trump over business ties	Jun 12, 2017 ... WASHINGTON (AP) The attorneys general of Maryland and the District of Columbia filed a federal lawsuit Monday against President Donald Trump, alleging he violated the Constituti.
https://www.apnews.com/5567751270564e9190821e9ec7928c03	Republicans urge Trump on tapes; Sessions to testify Tues	Jun 12, 2017 ... WASHINGTON (AP) Fellow Republicans pressed President Donald Trump on Sunday to come clean about whether he has tapes of private conversations with former FBI Director James Comey and provide them to Congress if he does or possibly face a subpoena, as a Senate investigation into...
https://apnews.com/cf3d15f981e9446bbd641dc376b926eb	Who else but Trump to call for a nation full of apprentices?	Jun 13, 2017 ... PEWAUKEE, Wis. (AP) The man who parlayed a run on TV's The Apprentice into a winning presidential campaign said Tuesday the nation needs a stronger system of apprenticeship to match workers with millions of open jobs. I love the name apprentice, President Donald Trump declared. He said he...
https://apnews.com/c15483bfdda74d00848c4063e9b56204	The sad duty now his, Trump calls for unity after shooting	Jun 15, 2017 ... NEW YORK (AP) It was a sadly familiar ritual: an American president addressing the nation at an unsettling time, decrying violence while urging citizens to set aside their differences and pray for the recovery of victims. But this time, it was President Donald Trump who was called upon to speak words of...
https://www.apnews.com/f5ce89c94833446f92cfc68587a9aa70/CNN's-chief-Zucker-lays-blame-on-Trump-for-threats	CNN's chief Zucker lays blame on Trump for threats	Jun 15, 2017 ... NEW YORK (AP) CNN chief Jeff Zucker says the level of threats faced by his journalists is more serious than people realize and he lays the blame squarely at the feet of President Donald Trump and other politicians he says try to delegitimize the press. Zucker called it unconscionable and dangerous...
https://apnews.com/eb1e5e3336fa4d5595148c2178dbd2a9	US college student released by North Korea arrives in Ohio	Jun 14, 2017 ... CINCINNATI (AP) An American college student whose parents say has been in a coma while serving a 15-year prison term in North Korea was released and returned to the United States Tuesday as the Trump administration revealed a rare exchange with the reclusive country. An airplane carrying Otto...
https://apnews.com/a891967cfe12428cb2f7ad05f8fcf594	China approves 9 Trump trademarks previously rejected	Jun 14, 2017 ... SHANGHAI (AP) The Chinese government has granted preliminary approval for nine Donald Trump trademarks it had previously rejected, in whole or in part, The Associated Press foun.
