Link	Title	Snippet
https://www.apnews.com/c21ec6c9e5a64734865cc4d79b295741	North Korea scoffs at Trump's 'nuclear button' tweet	Jan 16, 2018 ... TOKYO (AP) North Korea's state-run media say U.S. President Donald Trump's tweet about having a bigger nuclear button than leader Kim Jong Un's is the spasm of a lunatic. Rodong Sinmun, the ruling party newspaper, lashed out at Trump in a commentary on Tuesday that took issue with the U.S....
https://apnews.com/d51e07432b824b2ea625172f931e402a	Supreme Court to rule on Trump travel ban	Jan 19, 2018 ... WASHINGTON (AP) The Supreme Court agreed Friday to decide the legality of the latest version of President Donald Trump's ban on travel to the United States by residents of six m.
https://www.apnews.com/8fdda3dba11c4d578b8020f5c4dd558c	Trump defends self after comments, says: 'I'm not a racist'	Jan 15, 2018 ... WEST PALM BEACH, Fla. (AP) President Donald Trump, on the defensive in the wake of recent disparaging comments about Haiti and African nations that have revived questions about whether the leader of the world's melting pot is a racist, declared Sunday that he is not one. No, No. I'm not a racist,...
https://www.apnews.com/2d5ca9ff332c4d9cb46fb72ecdb9d4b2	Dems accuse GOP official of 'amnesia' on Trump vulgarity	Jan 16, 2018 ... WASHINGTON (AP) Republicans struggled to get their stories straight Tuesday as President Donald Trump's Homeland Security secretary became the latest GOP official to offer an inconclusive version of a meeting in which Trump is said to have used vulgar remarks that have been criticized as racist.
https://www.apnews.com/a4b3a9338ccb4118a9566419c69c2243/Trump-ends-1st-year-with-lowest-average-approval-rating	Trump ends 1st year with lowest average approval rating	Jan 16, 2018 ... WASHINGTON (AP) This is a record not to be coveted: Donald Trump is wrapping up a year in office with the lowest average approval rating of any elected president in his first year. That's according to polling by Gallup, which shows that Trump has averaged just a 39 percent approval rating since his...
https://www.apnews.com/069d9426abb94b7c92da4089492097be	The Latest: Homeland secretary unclear on Trump vulgarity	Jan 17, 2018 ... WASHINGTON (AP) The Latest on President Donald Trump (all times local):. 9 :10 p.m.. President Donald Trump's Homeland Security secretary is the latest GOP official to offer an inconclusive version of a meeting in which Trump is said to have used vulgar remarks that have been criticized as racist.
https://www.apnews.com/6bb9533272744928b5d2d6050c72be09	Tabloid held porn star's 2011 interview after Trump threat	Jan 19, 2018 ... NEW YORK (AP) A tabloid magazine held back from publishing an adult film star's 2011 account of an alleged affair with Donald Trump after the future president's personal lawyer threatened to sue, four former employees of the tabloid's publisher told The Associated Press. In Touch magazine published...
https://www.apnews.com/4c2dce305b4a4d679785fc48bd278704	Trump has kept many promises during his first year in office	Jan 15, 2018 ... WASHINGTON (AP) President Donald Trump often brags that he's done more in his first year in office than any other president. That's a spectacular stretch. But while he's fallen short on many measures and has a strikingly thin legislative record, Trump has followed through on dozens of his campaign...
https://www.apnews.com/f81e6d4350c444a08c2dfcb9cd5bd81d	Trump claims credit for what is still mostly Obama's economy	Jan 17, 2018 ... WASHINGTON (AP) President Donald Trump relentlessly congratulates himself for the healthy state of the U.S. economy, with its steady growth, low unemployment, busier factories and confident consumers. But in the year since Trump's inauguration, most analysts tend to agree on this: The economy...
https://apnews.com/7f8fa3323bc4408f9a0753ce59316feb	Aced it: Doc says Trump got perfect score on cognitive test	Jan 17, 2018 ... WASHINGTON (AP) President Donald Trump performed exceedingly well on a surprise cognitive screening test administered last week, his doctor said Tuesday, as the White House continued to bat back questions about the president's mental fitness for office. Navy doctor Ronny Jackson, who...
