Link	Title	Snippet
https://www.apnews.com/b487c85e928b4006aca6905e916d8a16	Trump warns of immigration peril, touts economy in address	Jan 31, 2018 ... WASHINGTON (AP) Addressing a deeply divided nation, President Donald Trump summoned the country to a new American moment of unity in his first State of the Union, challenging Congress to make good on long-standing promises to fix a fractured immigration system and warning darkly of evil...
https://apnews.com/e37867ab28704abfbd9ac3dc8ae9612d	AP FACT CHECK: Trump's claims in his State of Union address	Jan 31, 2018 ... WASHINGTON (AP) The AP is fact-checking remarks from President Donald Trump's State of the Union speech. Here's a look at some of the claims we've examined (quotations from the.
https://www.apnews.com/fb12a7bb3f5a4295a350052287d01ac3/AP-FACT-CHECK:-Trump-on-middle-class-and-taxes	AP FACT CHECK: Trump on middle class and taxes	Jan 31, 2018 ... WASHINGTON (AP) A look at one of President Donald Trump's statements from his prepared State of the Union address on Tuesday night and how it compares with the facts: TRUMP: Our massive tax cuts provide tremendous relief for the middle class and small businesses. THE FACTS: That depends...
https://www.apnews.com/95c0de495cda4636ba94b8ad2976430a	Porn star weaves tangled tale on alleged affair with Trump	Jan 31, 2018 ... NEW YORK (AP) The latest twists in the tangled tale of what happened between Donald Trump and an adult film star more than a decade ago have the woman both firmly denying an extramarital affair with Trump and then playing coy about that denial. Stormy Daniels, the woman who allegedly had a...
https://www.apnews.com/5321994b1bf749479b0ec90bf8fe96dc/AP-FACT-CHECK:-Trump's-half-baked-claims-on-climate,-economy	AP FACT CHECK: Trump's half-baked claims on climate, economy	Jan 29, 2018 ... WASHINGTON (AP) President Donald Trump tried to play it both ways on climate change in describing a warming-but-cooling planet Earth. The unequivocal response, according to data and climate scientists: wrong. The president's claims about ice caps, from an interview heard Sunday on Britain's ITV...
https://www.apnews.com/2190cd7d1f4942408e4409a01e24c9f1/Trump-nuclear-doctrine-takes-tougher-stance-on-Russia	Trump nuclear doctrine takes tougher stance on Russia	Feb 2, 2018 ... WASHINGTON (AP) The Trump administration on Friday announced it will continue much of the Obama administration's nuclear weapons policy, but take a more aggressive stance toward Russia. It said Russia must be convinced it would face unacceptably dire costs if it were to threaten even a limited...
https://apnews.com/89ee471c68db47788fc416ed22fefa0c	Minorities hear division in Trump call for unity	Feb 1, 2018 ... President Donald Trump's call for American unity in his first State of the Union address struck an us-versus-them tone for many minorities, raising questions as to what extent Americans.
https://www.apnews.com/320f606509664d1ab024b2af2516eaa8	So much for speech: Trump on hot mic says he'll release memo	Jan 31, 2018 ... WASHINGTON (AP) Scenes from the Capitol on a night of pomp, pageantry and politics for the State of the Union address: Talk about stepping on one's message. Schmoozing in the House chamber after delivering his maiden State of the Union speech, a hot mic caught President Donald Trump telling a...
https://www.apnews.com/a93bad5f2d964cf7ad7231eeb80a9a42/Trump-will-clear-way-for-publication-of-classified-memo	Trump will clear way for publication of classified memo	Feb 2, 2018 ... WASHINGTON (AP) Over the strong objections of his own Justice Department, President Donald Trump will clear the way for the publication of a classified memo on the Russia invest.
https://www.apnews.com/a0815654d4b84277bcaba94fed1680e8	Can Trump stick to a script beyond the State of the Union?	Jan 29, 2018 ... WASHINGTON (AP) No natural orator, President Donald Trump has nonetheless shown at times that he can deliver a powerful speech that effectively outlines his vision, strikes an emotional chord and moves commentators to declare that he, at last, looks presidential. And then the teleprompter gets...
