Link	Title	Snippet
https://apnews.com/7d824d4df86649fd98c4ba63a8015d0c	Analysis: Why won't Donald Trump condemn white nationalism?	Aug 14, 2017 ... WASHINGTON (AP) Why doesn't President Donald Trump just unequivocally condemn white supremacists? It's a jarring question to ask about an American president. But i.
https://www.apnews.com/a6f81c026dd04c64a066cd5ed31442ff/Trump-signs-bill-expanding-college-assistance-for-veterans	Trump signs bill expanding college assistance for veterans	Aug 17, 2017 ... BRIDGEWATER, N.J. (AP) President Donald Trump on Wednesday signed into law an updated veterans' education bill that marks the largest expansion of college assistance for military veterans in a decade. The Forever GI Act immediately removed a 15-year time limit on the use of GI benefits.
https://apnews.com/395f6966223043babc448e9eae97c6b8	Bowing to pressure, Trump denounces hate groups by name	Aug 15, 2017 ... WASHINGTON (AP) Bowing to pressure from right and left, President Donald Trump condemned white supremacist groups by name on Monday, declaring racism is evil after two days of public equivocation and internal White House debate over the deadly race-fueled clashes in Charlottesville, Virginia.
https://www.apnews.com/443a7fa94e2245aeb89df2c97e72a660/US-Jewish-criticism-of-Trump-expands-to-some-supporters	US Jewish criticism of Trump expands to some supporters	Aug 17, 2017 ... NEW YORK (AP) Ivanka Trump's rabbi denounced President Donald Trump for blaming both sides in a white nationalist rally in Charlottesville, Virginia, as the number of American Jewish leaders willing to criticize him grew. Rabbi Haskel Lookstein of Congregation Kehilath Jeshurun, and other rabbis...
https://apnews.com/7654c14b6bd94cf8814fa6a0af8d1edd	Defiant Trump insists anew: Blame both sides for violence	Aug 16, 2017 ... NEW YORK (AP) Combative and insistent, President Donald Trump declared anew Tuesday there is blame on both sides for the deadly violence last weekend in Charlottesville, Virginia, appearing to once again equate the actions of white supremacist groups and those protesting them. He showed...
https://www.apnews.com/013bad85583e49649e8f232df786f3c4/Edinburgh-Fringe-festival-takes-on-Donald-Trump	Edinburgh Fringe festival takes on Donald Trump	Aug 14, 2017 ... EDINBURGH, Scotland (AP) Donald Trump may not be planning to visit the United Kingdom this year but he's become a very popular figure in Scotland's capital. Perfor.
https://apnews.com/1fd386de79ac432fba02347767876045	Israeli leader resists calls to criticize Trump	Aug 17, 2017 ... JERUSALEM (AP) Israel's prime minister faced growing calls on Thursday to denounce President Donald Trump's response to the racially charged violence and anti-Semitic displays i.
https://www.apnews.com/727bf059de5d4cc0a40a6d29c4dc23c9/Trump-signs-order-to-speed-infrastructure-construction	Trump signs order to speed infrastructure construction	Aug 15, 2017 ... WASHINGTON (AP) President Donald Trump said Tuesday he has signed a new executive order intended to make more efficient the federal permitting process for construction of transportation, water and other infrastructure projects without harming the environment. Trump's order includes revoking an...
https://apnews.com/199eb198e59f435db9ba5f6bddfee576	The Latest: Trump won't back down on Confederate monuments	Aug 18, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump (all times EDT):. 10:45 p.m.. President Donald Trump isn't backing away from the racially charged debate over Confederate memorials, even lashing out at members of his own party. Trump tweeted his defense of monuments to Confederate...
https://apnews.com/e99c379b83c74cc796b573913f527b50	Donald Trump's die-hard supporters show no signs of straying	Aug 17, 2017 ... NEW YORK (AP) They wash their hands of neo-Nazis and wag their fingers at leftists. They denounce a press corps they see as biased and controversies they view as manufactured. But in the frenzied blame game over the deadly violence at a rally of white supremacists, Donald Trump's loyal base is...
