Link	Title	Snippet
https://www.apnews.com/8fd20a96a4a04161b3ca03a37816ef99	Trump-free Twitter: Outage highlights service's importance	Nov 3, 2017 ... President Donald Trump's Twitter account disappeared for just 11 minutes this week, far shorter than past outages that have affected users of the social media service. But as Trump's critics cheered his brief moment of forced silence and Twitter struggled to explain who was responsible for deactivating his...
https://www.apnews.com/3baac97f79944378ab648cd7a8468fa2	Hits from Dems and Trump put Sessions in familiar hot seat	Nov 3, 2017 ... WASHINGTON (AP) The nation's chief law enforcement officer found himself in a familiar spot Friday: belittled by the president, pressured to investigate political opponents and sucked back into the center of the storm around the investigation into the Trump administration's campaign ties to Russia.
https://www.apnews.com/41606442bed74e6aa0491a500574a8c7	Trump announces semiconductor company's return to US	Nov 2, 2017 ... WASHINGTON (AP) A $100 billion semiconductor company based in Singapore will legally relocate its home address to the United States, President Donald Trump announced Thursday.
https://www.apnews.com/858f2d066ac44d34a29c5aad40d91178	The Latest: Trump slams visa lottery after NYC attack	Nov 2, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump and immigration ( all times local):. 9:55 p.m.. President Donald Trump is urging swift repeal of an immigration program that brought the New York truck attack suspect to America. Trump insists Congress must end the visa lottery program under...
https://apnews.com/3d045c83c28545b98239d595df55c4a1	Trump fumes as Mueller probe enters new phase with charges	Oct 30, 2017 ... WASHINGTON (AP) Special counsel Robert Muller's charges Monday against former Trump campaign chairman Paul Manafort and two other aides marked a new phase in his sprawling investigation into Russia and President Donald Trump, underscoring the ongoing threat Mueller poses to the...
https://www.apnews.com/d3b9cd5c169741878f3c6fe5dc30e53d/Trump-campaign-aide-steps-to-center-of-Russia-probe	Trump campaign aide steps to center of Russia probe	Oct 31, 2017 ... WASHINGTON (AP) A former Donald Trump campaign aide described by the White House as a low-level volunteer was thrust Monday into the center of special counsel Robert Mueller's investigation, providing key evidence in the first criminal case connecting Trump's team to alleged intermediaries for...
https://www.apnews.com/3d81ee54ef3e4c86a98fda87981cba44	First guilty plea, indictment of Trump aides in Russia probe	Oct 31, 2017 ... WASHINGTON (AP) On a black Monday for Donald Trump's White House, the special counsel investigating possible coordination between the Kremlin and the Trump presidential campaign announced the first charges, indicting Trump's former campaign chairman and revealing how an adviser lied to...
https://apnews.com/31fe75346ad147ba9db0396d62aa741d/DC-court-bars-Trump-from-reversing-transgender-troops-policy	US court bars Trump from reversing transgender troops policy	Oct 30, 2017 ... WASHINGTON (AP) A federal judge on Monday barred President Donald Trump's administration from proceeding with plans to exclude transgender people from military service. U.S. District Judge Colleen Kollar-Kotelly ruled that the transgender service members who had sued over Trump's policy were...
https://apnews.com/bed8d2dfaa8b4c398d2c00601b9c8ae7	Trump: Aide at center of Russia probe 'proven to be a liar'	Oct 31, 2017 ... WASHINGTON (AP) President Donald Trump said Tuesday that a former campaign aide thrust into the center of special counsel Robert Mueller's Russia probe has already proven to be a liar. On Twitter, Trump sought to dismiss George Papadopoulos, who has provided key evidence in the first criminal...
https://apnews.com/8e85436dd5974c979be17c1bcce19644	The Latest: Trumps nominates Jerome Powell for Fed chair	Nov 2, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump and the chair of the Federal Reserve (all times local): 4:06 p.m. Outgoing Fed chair Janet Yelle.
