Link	Title	Snippet
https://apnews.com/22cc9ab8288a40b9ba773a42fd678de5	Trump announces challenge to Obama-era fuel standards	Mar 16, 2017 ... YPSILANTI, Mich. (AP) President Donald Trump announced Wednesday that his administration will re-examine federal requirements governing the fuel efficiency of cars and trucks, m.
https://apnews.com/d8770f8739484922b5a205fdf19dac1a	Trump blasts release of 2005 tax form, reporter's account	Mar 15, 2017 ... WASHINGTON (AP) President Donald Trump earned $153 million and paid $36.5 million in income taxes in 2005, paying a roughly 25 percent effective tax rate thanks to a tax he has since sought to eliminate, according to newly disclosed tax documents. The pages from Trump's federal tax return show...
https://apnews.com/298040e9b68648dba9c33c64bbec7fcd	Winners and losers in Trump's first budget plan	Mar 16, 2017 ... WASHINGTON (AP) Military spending would get the biggest boost in President Donald Trump's proposed budget. Environmental programs, medical research, Amtrak and an array of inter.
https://apnews.com/2dc345709a5b4d80820dd6afc402ca8e	Ivana Trump writing memoir about her children with Donald	Mar 15, 2017 ... NEW YORK (AP) Ivana Trump, the first wife of President Donald Trump, is writing a memoir that will focus on the couple's three children. "Raising Trump" will be pu.
https://apnews.com/532d3183aafb4626ba72ba1581ae4047	Trump, Merkel talk job training	Mar 17, 2017 ... WASHINGTON (AP) A meeting between President Donald Trump and German Chancellor Angela Merkel on vocational training Friday offered further evidence of the first daughter's influence in the White House. A White House official said Merkel's staff reached out to Ivanka Trump about setting up the...
https://www.apnews.com/f49c1d4240c548b89a936e791aec018c	The Latest: Trump touts GOP health care plan at Tenn. rally	Mar 16, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump (all times EDT):. 8: 45 p.m.. President Donald Trump is touting the embattled House Republican health care plan, telling his supporters that the House legislation does so much for you. But he's making clear that he's open to debate and...
https://www.apnews.com/d8ac7e541eb54b22828806f6937b0742/The-Latest:-Trump-releases-tax-info-ahead-of-TV-report	The Latest: Trump releases tax info ahead of TV report	Mar 15, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump (all times EDT): 8: 35 p.m. The White House says President Donald Trump made more than $150 milli.
https://www.apnews.com/581d6394e0684b5d89c01ba66f074f03	Trump's allies melting away on wiretapping claims	Mar 16, 2017 ... WASHINGTON (AP) President Donald Trump's explosive allegation that Barack Obama wiretapped his New York skyscraper during the presidential campaign has left him increasingly isolated, with allies on Capitol Hill and within his own administration offering no evidence to back him up.
https://www.apnews.com/708b8e900e6f44e1b1a33803c711078c	Trump's planned reduction in refugees may hit Myanmar worst	Mar 16, 2017 ... KUALA LUMPUR, Malaysia (AP) Tin, her husband and five children have cleared years of refugee hurdles to come to the U.S.: blood tests, interviews, DNA and fingerprints, background checks. She has her one must-bring possession within reach, a well-worn Bible, and keeps their phone charged for...
https://www.apnews.com/c267ac9f86ab4971b5e0c2439ebacf9d	Trump's budget boosts military but cuts GOP, Dem favorites	Mar 16, 2017 ... WASHINGTON (AP) President Donald Trump's new $1.15 trillion budget would reshape America's government with the broad, conservative strokes he promised as a candidate, ordering generous increases for the military, slashing domestic programs and riling both fellow Republicans and Democrats by...
